Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
Medscint 197-2	parallel		2022-09-23 15:42	Forward		1	7	100.58	100.39	100.42	100.46	0.00048	1.026	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:47	Forward	545	1.5	0.5	44.54	44.65	44.62	44.60	0.00060	0.968	0.447	0.949
Medscint 197-2	parallel	Max	2022-09-23 15:52	Forward		1.5	1	72.04	71.95	72.14	72.04	0.00062	0.985	0.721	0.965
Medscint 197-2	parallel		2022-09-23 15:54	Forward		1.5	7	99.87	99.93	99.85	99.88	0.00020	1.021	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 15:58	Reverse	545	0	0.5	0.00	0.00	0.00	46.00	0.00049	1.000	0.470	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:02	Reverse		0	1	0.00	0.00	0.00	73.00	0.00115	1.000	0.746	1.000
Medscint 197-2	parallel		2022-09-23 16:04	Reverse		0	7	0.00	0.00	0.00	97.82	0.00082	1.000	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:16	Reverse	545	0.2	0.5	46.47	46.36	46.45	46.43	0.00046	1.009	0.467	0.993
Medscint 197-2	parallel	Max	2022-09-23 16:20	Reverse		0.2	1	74.22	74.22	74.28	74.24	0.00017	1.017	0.747	1.001
Medscint 197-2	parallel		2022-09-23 16:21	Reverse		0.2	7	99.45	99.40	99.32	99.39	0.00024	1.016	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:24	Reverse	545	0.35	0.5	46.75	46.65	46.73	46.71	0.00053	1.015	0.468	0.995
Medscint 197-2	parallel	Max	2022-09-23 16:28	Reverse		0.35	1	74.28	74.22	74.28	74.26	0.00022	1.017	0.744	0.997
Medscint 197-2	parallel		2022-09-23 16:29	Reverse		0.35	7	99.83	99.73	99.80	99.79	0.00024	1.020	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:32	Reverse	545	0.5	0.5	46.41	46.39	46.42	46.41	0.00016	1.009	0.465	0.988
Medscint 197-2	parallel	Max	2022-09-23 16:36	Reverse		0.5	1	74.25	74.24	74.28	74.26	0.00013	1.017	0.743	0.996
Medscint 197-2	parallel		2022-09-23 16:38	Reverse		0.5	7	99.90	99.87	99.94	99.90	0.00017	1.021	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:41	Reverse	550	1	0.5	45.25	45.51	45.40	45.39	0.00136	0.987	0.455	0.968
Medscint 197-2	parallel	Max	2022-09-23 16:45	Reverse		1	1	73.15	73.14	73.08	73.12	0.00024	1.002	0.733	0.983
Medscint 197-2	parallel		2022-09-23 16:47	Reverse		1	7	99.73	99.74	99.72	99.73	0.00005	1.020	1.000	1.000
Medscint 197-2	parallel	Max	2022-09-23 16:50	Reverse	545	1.5	0.5	44.19	44.07	44.26	44.17	0.00103	0.960	0.445	0.946
Medscint 197-2	parallel	Max	2022-09-23 16:54	Reverse		1.5	1	72.34	72.36	72.33	72.34	0.00010	0.991	0.728	0.976
Medscint 197-2	parallel		2022-09-23 16:56	Reverse		1.5	7	99.29	99.33	99.32	99.31	0.00010	1.015	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 10:06	Reverse	545	0	0.5	0.00	0.00	0.00	43.77	0.00183	1.000	0.461	1.000
BCF-60	perpendicular	Max	2022-09-27 10:09	Reverse		0	1	0.00	0.00	0.00	70.09	0.00085	1.000	0.738	1.000
BCF-60	perpendicular		2022-09-27 10:12	Reverse		0	7	0.00	0.00	0.00	94.97	0.00031	1.000	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 10:24	Reverse	545	0.2	0.5	44.43	44.25	44.61	44.43	0.00191	1.015	0.459	0.995
BCF-60	perpendicular	Max	2022-09-27 10:29	Reverse		0.2	1	71.63	71.56	71.60	71.60	0.00023	1.022	0.739	1.002
BCF-60	perpendicular		2022-09-27 10:31	Reverse		0.2	7	96.83	96.83	96.91	96.86	0.00022	1.020	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 10:34	Reverse	545	0.35	0.5	44.54	44.59	44.75	44.63	0.00116	1.020	0.457	0.992
BCF-60	perpendicular	Max	2022-09-27 10:38	Reverse		0.35	1	71.89	71.86	71.88	71.88	0.00010	1.026	0.736	0.998
BCF-60	perpendicular		2022-09-27 10:40	Reverse		0.35	7	97.65	97.60	97.59	97.61	0.00016	1.028	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 10:44	Reverse	545	0.5	0.5	44.85	44.88	44.77	44.83	0.00060	1.024	0.458	0.994
BCF-60	perpendicular	Max	2022-09-27 10:53	Reverse		0.5	1	71.93	71.90	71.93	71.92	0.00011	1.026	0.735	0.996
BCF-60	perpendicular		2022-09-27 10:55	Reverse		0.5	7	97.87	97.82	97.83	97.84	0.00013	1.030	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 10:59	Reverse	550	1	0.5	43.65	43.89	43.76	43.77	0.00129	1.000	0.444	0.963
BCF-60	perpendicular	Max	2022-09-27 11:03	Reverse		1	1	71.00	70.94	71.02	70.99	0.00028	1.013	0.720	0.975
BCF-60	perpendicular		2022-09-27 11:04	Reverse		1	7	98.66	98.61	98.61	98.63	0.00014	1.039	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 11:09	Reverse	545	1.5	0.5	42.74	42.87	42.80	42.80	0.00072	0.978	0.432	0.938
BCF-60	perpendicular	Max	2022-09-27 11:13	Reverse		1.5	1	70.63	70.71	70.70	70.68	0.00029	1.008	0.714	0.967
BCF-60	perpendicular		2022-09-27 11:15	Reverse		1.5	7	99.08	99.01	98.98	99.02	0.00024	1.043	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 11:20	Forward	550	0	0.5	0.00	0.00	0.00	43.68	0.00098	1.000	0.460	1.000
BCF-60	perpendicular	Max	2022-09-27 11:23	Forward		0	1	0.00	0.00	0.00	69.97	0.00028	1.000	0.738	1.000
BCF-60	perpendicular		2022-09-27 11:25	Forward		0	7	0.00	0.00	0.00	94.86	0.00011	1.000	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 11:37	Forward	555	0.2	0.5	44.55	44.60	44.56	44.57	0.00028	1.020	0.460	0.998
BCF-60	perpendicular	Max	2022-09-27 11:41	Forward		0.2	1	71.45	71.53	71.54	71.51	0.00033	1.022	0.737	1.000
BCF-60	perpendicular		2022-09-27 11:42	Forward		0.2	7	96.96	97.02	97.01	97.00	0.00016	1.022	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 11:46	Forward	545	0.35	0.5	44.96	44.86	44.82	44.88	0.00076	1.027	0.459	0.996
BCF-60	perpendicular	Max	2022-09-27 11:50	Forward		0.35	1	71.83	71.91	71.97	71.90	0.00046	1.028	0.735	0.996
BCF-60	perpendicular		2022-09-27 11:52	Forward		0.35	7	97.92	97.86	97.78	97.85	0.00034	1.032	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 11:56	Forward	545	0.5	0.5	45.00	44.90	45.17	45.02	0.00143	1.031	0.457	0.994
BCF-60	perpendicular	Max	2022-09-27 12:00	Forward		0.5	1	71.99	72.07	72.08	72.05	0.00032	1.030	0.732	0.993
BCF-60	perpendicular		2022-09-27 12:02	Forward		0.5	7	98.39	98.44	98.41	98.41	0.00012	1.037	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 12:06	Forward	545	1	0.5	44.49	44.67	44.60	44.59	0.00096	1.021	0.450	0.976
BCF-60	perpendicular	Max	2022-09-27 12:11	Forward		1	1	71.52	71.54	71.58	71.55	0.00020	1.023	0.721	0.978
BCF-60	perpendicular		2022-09-27 12:12	Forward		1	7	99.21	99.22	99.10	99.18	0.00032	1.045	1.000	1.000
BCF-60	perpendicular	Max	2022-09-27 12:17	Forward	550	1.5	0.5	43.72	43.67	43.60	43.66	0.00065	1.000	0.440	0.955
BCF-60	perpendicular	Max	2022-09-27 12:21	Forward		1.5	1	70.88	70.94	70.91	70.91	0.00020	1.013	0.714	0.968
BCF-60	perpendicular		2022-09-27 12:23	Forward		1.5	7	99.29	99.26	99.31	99.29	0.00012	1.047	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:09	Forward	545	0	0.5	0.00	0.00	0.00	44.13	0.00165	1.000	0.466	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:13	Forward		0	1	0.00	0.00	0.00	70.35	0.00046	1.000	0.743	1.000
BCF-60 Lee filter	perpendicular		2022-09-27 14:15	Forward		0	7	0.00	0.00	0.00	94.63	0.00014	1.000	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:20	Forward	545	0.2	0.5	44.84	44.90	44.94	44.89	0.00041	1.017	0.463	0.993
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:23	Forward		0.2	1	71.65	71.46	71.58	71.56	0.00049	1.017	0.738	0.993
BCF-60 Lee filter	perpendicular		2022-09-27 14:25	Forward		0.2	7	96.98	96.91	97.00	96.96	0.00018	1.025	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:44	Forward	545	0.35	0.5	45.36	45.18	45.48	45.34	0.00157	1.028	0.463	0.992
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:48	Forward		0.35	1	72.35	72.39	72.36	72.37	0.00014	1.029	0.738	0.993
BCF-60 Lee filter	perpendicular		2022-09-27 14:49	Forward		0.35	7	98.03	98.01	97.97	98.00	0.00015	1.036	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:28	Forward	545	0.5	0.5	45.50	45.47	45.47	45.48	0.00018	1.031	0.462	0.992
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:36	Forward		0.5	1	72.29	72.30	72.27	72.29	0.00010	1.028	0.735	0.989
BCF-60 Lee filter	perpendicular		2022-09-27 14:37	Forward		0.5	7	98.34	98.39	98.35	98.36	0.00013	1.039	1.000	1.000
BCF-60 Lee filter	perpendicular	Max	2022-09-27 14:54	Forward	550	1	0.5	44.63	44.92	44.89	44.81	0.00168	1.016	0.452	0.968
